ID,H,e,a,Perigee,i,RAAN,arg_perig,Apogee,M,period [y],MOID,condition_code,SMASS taxonomy,Spin period,Satellites,PHA,delta_v_tot,period_sin,approaches,date_approach,is_NHATS,is_geometry,n_backup,familiar,delta_H
678964 (2018 CC14),22.40,.5453897500251901,2.081053605950396,.9460683000120892,5.885812622669994,200.3747570979703,343.0696746947986,3.216038911888703,67.2878358594886,3.00215494736904,.0252778,0,,,0,N,1981.4611088673048,1.4994618430077373,2.0,2033-04-03,False,False,0.0,-,999.0
679786 (2020 QG3),21.21,.565398484481145,2.088764652014234,.9077802833275997,7.427616431782331,186.5597239349674,229.7573666715274,3.269749020700868,113.3147759223742,3.01885647753929,.0161955,0,,,0,Y,3037.758859295721,1.4953299113262688,1.0,2032-12-25,False,False,0.0,-,999.0
745311 (2010 XC15),21.48,.4199151467334827,.7323926168552068,.4248498636819333,8.24011584746588,94.40111010242546,158.1118589960463,1.03993537002848,186.567533049579,0.626793001460756,.00277314,0,,2.673,0,Y,1457.4674405453334,1.6794781553241602,1.0,2032-12-01,False,False,0.0,-,999.0
755140 (2017 AE5),22.18,.3381384498225913,1.314358857009432,.8699235905896697,2.279316098353633,1.881724895605889,188.6423559502763,1.758794123429194,15.89462959609494,1.50688162234493,.0292447,0,,,0,N,1301.9455815722056,2.9728472209621875,1.0,2032-04-27,True,False,2.0,(2004 MO3),0.019999999999999574
756065 (2018 DH1),21.14,.6035753660581458,2.094764367997554,.83041619777787,1.968819669169819,146.0542986388466,97.40807712403004,3.359112538217238,45.766860408409,3.03187274641846,.0139041,0,,5,0,Y,2465.7587757935444,1.492156805470559,1.0,2030-08-05,False,False,0.0,-,999.0
(1994 CJ1),21.54,.3255106974558976,1.490631882619661,1.005415258858138,2.307789650824565,172.0059454783277,65.36916317231045,1.975848506381184,255.8403224418138,1.81996824829497,.0321665,0,,30,1,Y,1975.332990555793,2.2195594184035605,1.0,2034-07-07,False,False,2.0,(2005 VA2),0.3999999999999986
(1995 CR),21.76,.8683476744042531,.9069185877451749,.1193979412026627,4.070950023704385,342.4260342890585,322.7280292035344,1.694439234287687,72.26019529343115,0.863695500024594,.0126032,0,,2.66,0,Y,9104.409129580434,6.336514936634044,1.0,2033-02-21,False,False,1.0,(2021 CM7),0.6600000000000001
(1998 EP4),21.5,.4410639984099036,1.560149184882631,.8720235472823457,7.18933173752929,352.7276478455688,266.5386656874348,2.248274822482916,196.9460488403197,1.94875568462619,.0631278,2,,,0,N,4376.259791366045,2.0540121299974086,1.0,2033-07-31,False,False,0.0,-,999.0
(1998 SU4),21.42,.5805564563937048,1.147913757166067,.4814850140601513,23.14620923937442,350.5770057547732,241.8546996276528,1.814342500271982,125.220185691149,1.22990649035865,.0199425,0,,,0,Y,4910.875254065398,5.349594473996874,1.0,2030-09-07,False,False,0.0,-,999.0
(1999 UQ),21.87,.01564519274728314,1.094118591616694,1.077000895362465,24.81612015719067,211.2995888474933,7.474445244433199,1.111236287870924,107.9642194956605,1.14447101699639,.0739465,0,,,0,N,1857.8821781501063,7.921803561644388,1.0,2031-04-22,False,False,0.0,-,999.0
(1999 UR),21.5,.5040038288579658,1.898726017907923,.9417608349300912,3.592441944642689,50.65066735827761,18.23141516749181,2.855691200885754,187.4904663398063,2.61638502346745,.0140483,0,,,0,Y,1504.976136440191,1.6186644799855987,1.0,2033-10-27,False,False,1.0,(2003 BR47),0.07000000000000028
(2000 HO40),22.3,.5171763244682348,.7462376379800266,.3603011991896592,5.835763699561986,29.93672063283377,6.463339263667074,1.132174076770394,164.0239118338351,0.644649910804581,.0385023,0,,,0,N,3268.7239071868325,1.8141262107579386,1.0,2031-05-24,False,False,1.0,(2008 KV2),1.0399999999999991
(2000 KA),21.75,.4618256381433467,1.331959428547445,.7168264154774735,6.730692199333642,62.43566251305617,83.29569508736526,1.947092441617416,353.8610737869759,1.53725069094735,.00202936,0,,11.46,0,Y,1676.715666601258,2.8613284577385474,1.0,2033-11-23,False,False,2.0,(2022 UD9),0.05999999999999872
(2000 RE52),22.33,.2478567571108336,1.154489311237635,.8683413344351549,18.45766574419698,344.1458927778995,258.1879842472177,1.440637288040115,230.2907239450268,1.24048945504486,.0325144,1,,4.909,0,N,2083.5547265328714,5.158186477712563,1.0,2031-08-27,False,False,0.0,-,999.0
(2000 TU28),21.05,.1827863657436394,1.072706354057612,.8766302580893115,15.59537648575772,202.9843824284741,280.9518786019068,1.268782450025913,138.7705581229011,1.11103945541841,.00114667,0,,128.5,0,Y,805.7465321755967,10.005807856602686,1.0,2030-10-24,False,False,0.0,-,999.0
(2000 UY33),22.3,.05430368307809197,1.124041799588532,1.063002189937148,26.03606820338262,37.41608464058343,81.37050234999366,1.185081409239915,322.3201894383487,1.19174103789326,.118285,1,,,0,N,2765.5431160880735,6.215367617633783,1.0,2031-11-02,False,False,1.0,(2018 JN1),0.0
(2001 BX15),21.6,.5913518186684797,1.924573868701206,.786473611282916,12.15520161322448,107.451613502739,87.77596356106957,3.062674126119497,303.463415129005,2.66999273357596,.0817382,0,,,0,N,8291.340845184874,1.5988050007012287,1.0,2033-02-08,False,False,0.0,-,999.0
(2001 TA2),22.0,.64753453296549,1.770729310761105,.6241209335091088,3.261612077591147,50.3576111167332,227.3793820224689,2.917337688013101,304.0032191389205,2.35633192056937,.0362276,0,,,0,Y,4030.0118618009083,1.7372826553991396,1.0,2034-09-22,False,False,0.0,-,999.0
(2001 UB5),22.21,.3375245202317411,1.692313431257737,1.121116152290738,46.85049375212706,27.18213223729472,8.594009596587508,2.263510710224736,157.2893244745897,2.2015543135062,.128566,0,,,0,N,5876.011789001264,1.8322553452302512,1.0,2034-10-23,False,False,0.0,-,999.0
(2001 WK15),21.34,.1368328803212391,1.140773960202253,.984678573432312,24.5114755160861,66.33415707721537,99.9273748276663,1.296869346972194,200.8651515329097,1.2184496880658,.0783642,0,,,0,N,4683.8748791544,5.577713105723395,1.0,2030-05-26,False,False,0.0,-,999.0
(2001 WF49),22.1,.3707511026504488,.752054824327643,.4732296689545797,17.95222125256512,239.6309665548738,358.434680061397,1.030879979700706,218.0883910020916,0.652202493066117,.0431395,0,,,0,N,5030.605708970703,1.8752362511618057,2.0,2033-12-04,False,False,0.0,-,999.0
